its, t_max, delta_t, its_eq, -, -, -, -
1000, 10, 0.010000, 0, 0, 0, 0, 0
E_kin [eV], E_pot [eV], E_tot [eV], <T> [K], T [K], <P> [MPa], P [MPa], a [Å]
27.498256, -642.271204, -614.772948, 831.664589, 831.000015, 1597.489073, 1575.900738, 4.030000
28.304715, -643.245363, -614.940648, 831.756475, 855.371286, 1597.278850, 1543.251376, 4.030000
28.120017, -642.972129, -614.852112, 831.826102, 849.789701, 1597.004246, 1526.156502, 4.030000
27.506893, -642.338747, -614.831854, 831.823928, 831.261039, 1596.790056, 1541.314957, 4.030000
26.836661, -641.753366, -614.916705, 831.744168, 811.006556, 1596.786147, 1595.769701, 4.030000
25.445495, -640.291629, -614.846134, 831.504555, 768.965378, 1597.092608, 1677.079000, 4.030000
24.524770, -639.182802, -614.658032, 831.160967, 741.140988, 1597.490867, 1701.834556, 4.030000
26.192501, -640.923052, -614.730551, 831.010887, 791.539987, 1597.614574, 1630.149552, 4.030000
29.342855, -644.318541, -614.975685, 831.221201, 886.743999, 1597.311988, 1517.429345, 4.030000
30.851125, -645.812416, -614.961291, 831.601287, 932.324067, 1596.789777, 1458.403965, 4.030000
30.177701, -645.043436, -614.865735, 831.902305, 911.973127, 1596.341670, 1477.145065, 4.030000
28.595813, -643.427589, -614.831776, 832.022701, 864.168314, 1596.058660, 1520.495052, 4.030000
26.937049, -641.797614, -614.860564, 831.955852, 814.040306, 1595.921058, 1559.043703, 4.030000
25.603352, -640.351312, -614.747960, 831.740222, 773.735828, 1595.942255, 1601.644363, 4.030000
